ID,Richness,Berger_Parker,Simpson,Shannon,Subsampling,Metodo,DB
1,12,0.2406114988,0.8671264495,2.183641862,25,deblur,SILVA
2,12,0.2411735177,0.8681842793,2.19034025,50,deblur,SILVA
3,12,0.2433393856,0.8670098963,2.185331257,75,deblur,SILVA
4,12,0.2448100492,0.8663686442,2.181530137,100,deblur,SILVA
5,12,0.4118075802,0.7940473357,2.037957109,25,dada,SILVA
6,12,0.4735306377,0.7482428503,1.930441482,50,dada,SILVA
7,14,0.4967551623,0.7291104324,1.901387559,75,dada,SILVA
8,14,0.5110320285,0.714266424,1.848060117,100,dada,SILVA
9,12,0.2560871162,0.86156731,2.148108697,25,otu_cr,SILVA
10,12,0.2544760967,0.8633764697,2.159062325,50,otu_cr,SILVA
11,12,0.254954625,0.8625721694,2.153704964,75,otu_cr,SILVA
12,12,0.2569272599,0.8619138857,2.149174807,100,otu_cr,SILVA
13,12,0.2406114988,0.8671264495,2.183641862,25,otu_or,SILVA
14,12,0.2411735177,0.8681842793,2.19034025,50,otu_or,SILVA
15,12,0.2433393856,0.8670098963,2.185331257,75,otu_or,SILVA
16,12,0.2448100492,0.8663686442,2.181530137,100,otu_or,SILVA
17,12,0.2406114988,0.8671264495,2.183641862,25,otu_dn,SILVA
18,12,0.2411735177,0.8681842793,2.19034025,50,otu_dn,SILVA
19,12,0.2433393856,0.8670098963,2.185331257,75,otu_dn,SILVA
20,12,0.2448100492,0.8663686442,2.181530137,100,otu_dn,SILVA
21,13,0.2042435782,0.8778917709,2.235768563,25,kraken2,SILVA
22,13,0.2036821838,0.8784836169,2.243489973,50,kraken2,SILVA
23,13,0.2043651698,0.8782193302,2.242417377,75,kraken2,SILVA
24,13,0.2047193732,0.8778855885,2.239889345,100,kraken2,SILVA
25,12,0.2385452148,0.8716438741,2.213517844,25,deblur,GG
26,12,0.2396474306,0.8724230527,2.219478249,50,deblur,GG
27,12,0.2423112424,0.8712436392,2.214306806,75,deblur,GG
28,12,0.2436223784,0.8707819191,2.211845368,100,deblur,GG
29,12,0.4357798165,0.7738405858,1.968826471,25,dada,GG
30,12,0.4962630792,0.7286004031,1.878145371,50,dada,GG
31,12,0.515860215,0.7113644641,1.83957793,75,dada,GG
32,12,0.5332631579,0.6932609418,1.777206494,100,dada,GG
33,12,0.2485748219,0.866351606,2.17277285,25,otu_cr,GG
34,12,0.2478279106,0.8676733199,2.182056607,50,otu_cr,GG
35,12,0.2483844111,0.8668682976,2.176467052,75,otu_cr,GG
36,12,0.2501636028,0.8664530255,2.173470655,100,otu_cr,GG
37,12,0.2385452148,0.8716438741,2.213517844,25,otu_or,GG
38,12,0.2396474306,0.8724230527,2.219478249,50,otu_or,GG
39,12,0.2423112424,0.8712436392,2.214306806,75,otu_or,GG
40,12,0.2436223784,0.8707819191,2.211845368,100,otu_or,GG
41,12,0.2501636028,0.8664530255,2.173470655,25,otu_dn,GG
42,12,0.2385452148,0.8716438741,2.213517844,50,otu_dn,GG
43,12,0.2396474306,0.8724230527,2.219478249,75,otu_dn,GG
44,12,0.2423112424,0.8712436392,2.214306806,100,otu_dn,GG
45,12,0.2463587622,0.8375953318,1.986346851,25,kraken2,GG
46,12,0.2471431134,0.8378745508,1.989070583,50,kraken2,GG
47,12,0.2471431134,0.8378745508,1.989070583,75,kraken2,GG
48,12,0.2471431134,0.8378745508,1.989070583,100,kraken2,GG
49,0,,,,25,deblur,RDP
50,0,,,,50,deblur,RDP
51,0,,,,75,deblur,RDP
52,0,,,,100,deblur,RDP
53,0,,,,25,dada,RDP
54,0,,,,50,dada,RDP
55,0,,,,75,dada,RDP
56,0,,,,100,dada,RDP
57,0,,,,25,otu_cr,RDP
58,0,,,,50,otu_cr,RDP
59,0,,,,75,otu_cr,RDP
60,0,,,,100,otu_cr,RDP
61,0,,,,25,otu_or,RDP
62,0,,,,50,otu_or,RDP
63,0,,,,75,otu_or,RDP
64,0,,,,100,otu_or,RDP
65,0,,,,25,otu_dn,RDP
66,0,,,,50,otu_dn,RDP
67,0,,,,75,otu_dn,RDP
68,0,,,,100,otu_dn,RDP
69,14,0.2234852861,0.8613060537,2.150830894,25,kraken2,RDP
70,14,0.2232519387,0.8614600225,2.151677577,50,kraken2,RDP
71,14,0.2232519387,0.8614600225,2.151677577,75,kraken2,RDP
72,14,0.2232519387,0.8614600225,2.151677577,100,kraken2,RDP
73,12,0.2226654393,0.8716533761,2.203415368,25,deblur,EZ
74,12,0.2235051547,0.8723124615,2.208799243,50,deblur,EZ
75,12,0.2255731862,0.8709818329,2.202518896,75,deblur,EZ
76,12,0.2268391145,0.8706487756,2.200602948,100,deblur,EZ
77,12,0.4320987654,0.7768493503,1.97797954,25,dada,EZ
78,12,0.4919766594,0.7324638056,1.888292059,50,dada,EZ
79,13,0.5135416667,0.7137196181,1.85715527,75,dada,EZ
80,13,0.5227882037,0.7033732817,1.81238079,100,dada,EZ
81,12,0.2485748219,0.866351606,2.17277285,25,otu_cr,EZ
82,12,0.2478279106,0.8676733199,2.182056607,50,otu_cr,EZ
