Sample,Method,Metric,metric_value
Reff_Mock_7,reff,reff,11
Reff_Mock_7,reff,reff,0.13
Reff_Mock_7,reff,reff,0.8916
Reff_Mock_7,reff,reff,2.28025127
Mock_7_25,Kraken2+Bracken,Richness,11
Mock_7_25,Kraken2+Bracken,Berger_Parker,0.2337680996
Mock_7_25,Kraken2+Bracken,Simpson,0.8700863571
Mock_7_25,Kraken2+Bracken,Shannon,2.192345974
Mock_7_25,Metaphlan,Richness,10
Mock_7_25,Metaphlan,Berger_Parker,0.2511849763
Mock_7_25,Metaphlan,Simpson,0.8435411278
Mock_7_25,Metaphlan,Shannon,2.025012946
Mock_7_25,motus,Richness,9
Mock_7_25,motus,Berger_Parker,0.2458714078
Mock_7_25,motus,Simpson,0.8326393703
Mock_7_25,motus,Shannon,1.929663966
Mock_7_25,ganon,Richness,11
Mock_7_25,ganon,Berger_Parker,0.2550496241
Mock_7_25,ganon,Simpson,0.8514145285
Mock_7_25,ganon,Shannon,2.081369891
Mock_7_100,Kraken2+Bracken,Richness,11
Mock_7_100,Kraken2+Bracken,Berger_Parker,0.2335129848
Mock_7_100,Kraken2+Bracken,Simpson,0.8704936168
Mock_7_100,Kraken2+Bracken,Shannon,2.195147937
Mock_7_100,Metaphlan,Richness,10
Mock_7_100,Metaphlan,Berger_Parker,0.2197521975
Mock_7_100,Metaphlan,Simpson,0.8510693751
Mock_7_100,Metaphlan,Shannon,2.040470776
Mock_7_100,motus,Richness,10
Mock_7_100,motus,Berger_Parker,0.2386134623
Mock_7_100,motus,Simpson,0.8450697009
Mock_7_100,motus,Shannon,2.028812164
Mock_7_100,ganon,Richness,11
Mock_7_100,ganon,Berger_Parker,0.2552277595
Mock_7_100,ganon,Simpson,0.8513051896
Mock_7_100,ganon,Shannon,2.080732257
