Sample	Observed	chao1	Ace	Shannon	Simpson	Pielou	Fisher	group
S1	115	115	111.71279	2.935775	0.8904054	0.6270168	40744.3225815185	Patient
S2	67	67	67.36235	2.060448	0.7869986	0.4917943	29110.5895199103	Patient
S3	109	108.25	106.84358	2.563455	0.8500735	0.553097	39718.1551640391	Patient
S4	96	97.2	97.55897	3.030217	0.9149004	0.6638882	40370.3347892989	Patient
S5	8	8	0	1.583864	0.7206724	0.7616774	10396.0229828764	Patient
S6	69	69.75	69.15033	1.411775	0.5113755	0.3369668	32696.545651107	Patient
S7	85	86.75	87.01847	2.853961	0.8725022	0.6407137	38245.5586009402	Patient
S8	103	104.66667	105.29528	3.173601	0.9211237	0.6847435	40346.2028503634	Patient
S9	53	53.125	53.79926	1.289214	0.65296	0.3247152	25447.7079597153	Patient
S10	88	89.33333	89.70371	3.476564	0.9519119	0.7745256	29205.9411466475	Patient
S11	121	121.33333	112.34369	2.954388	0.9106807	0.6374457	36752.4565737614	Patient
S12	68	68	68.3374	2.479894	0.8296183	0.5877211	33536.9624921268	Patient
S13	77	77	76.66527	2.491131	0.8158791	0.5752216	33830.0911421414	Control
S14	82	82	79.68608	2.418572	0.803728	0.5567863	34458.1593916545	Control
S15	31	31	31	1.355778	0.5033284	0.3948115	16644.7858638307	Control
S16	97	97	97.09554	3.53078	0.9548951	0.7753351	35604.4450956252	Control
S17	84	84	84	2.796587	0.8497559	0.6311674	33550.4640566138	Control
S18	95	95.33333	95.81455	3.477795	0.9493853	0.7636998	33059.8166279725	Control
S19	117	117.33333	117.50133	3.3621	0.912502	0.7060011	33337.9277124284	Control
S20	88	87.25	87.64762	2.407065	0.7451454	0.5389867	31794.6982229037	Control
S21	98	99.625	100.68025	2.005899	0.6612039	0.4384756	38017.9379443741	Control
S22	100	100	99.94181	3.069921	0.9117205	0.6695623	35153.5579185039	Control
S23	113	113	113.69352	3.001197	0.8732327	0.6360492	38801.1389983151	Control
