Group	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
clade_name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23
k__Bacteria	99.98533	100	100	100	100	100	100	100	100	100	98.32784	100	100	100	100	100	99.97274	100	100	100	100	100	98.95568
k__Bacteria|p__Bacteroidetes	61.3008	64.65482	82.67299	60.85742	0	77.18699	34.86426	45.63195	96.18055	47.47404	50.92537	69.8431	62.88138	63.12412	82.33863	45.98635	41.77725	36.03114	22.25739	59.18163	77.5122	58.50739	17.28648
k__Bacteria|p__Firmicutes	28.29002	29.68623	15.72527	27.45089	66.97649	22.16497	51.43239	49.58774	3.18049	45.54302	36.69182	22.87451	36.19405	34.45558	10.11088	48.34099	54.50512	59.3517	73.11492	39.06691	20.88587	37.87552	46.00284
k__Bacteria|p__Proteobacteria	7.9589	5.5207	0.9918	1.83459	8.06877	0.332	0.65563	4.25753	0.05482	5.74362	6.48872	7.25061	0.85805	1.8946	7.55049	2.72902	2.25633	2.08957	2.54584	1.05083	1.51049	1.4944	1.47865
k__Bacteria|p__Actinobacteria	0.13086	0.13494	0.60994	0.22755	24.95474	0.01639	1.80792	0.37722	0.0632	0.79959	0.44075	0	0.01218	0.45323	0	0.25811	0.42355	0.85329	1.82203	0.35956	0.03984	0	0.77416
k__Bacteria|p__Lentisphaerae	0.33294	0	0	0	0	0	0.83868	0	0	0.30739	0.06121	0.00259	0.05434	0	0	1.63783	0.08	0.94863	0	0.34107	0.03754	0.82452	0.61839
k__Bacteria|p__Verrucomicrobia	1.97181	0	0	4.92399	0	0.28433	1.0873	0	0	0.0787	3.28104	0	0	0	0	1.04771	0.9251	0.68684	0.25982	0	0	0.093	27.60804
k__Bacteria|p__Planctomycetes	0	0	0	0	0	0	0.26441	0	0	0.05363	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	61.3008	64.65482	82.6433	60.85742	0	77.18699	34.86426	45.60775	96.18055	47.47404	50.8922	69.35218	62.88138	63.12412	82.33863	45.98635	41.69827	36.03114	22.25739	59.18163	77.5122	58.42402	17.10031
k__Bacteria|p__Firmicutes|c__Clostridia	27.0077	27.47674	15.17288	25.82127	5.46595	16.11464	49.31621	46.92171	3.03308	41.01001	28.82594	20.89986	30.35059	33.11999	8.56	44.05201	43.09763	54.68568	70.5064	29.76645	16.56656	31.37315	43.98165
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.2674	4.64945	0.54567	1.00907	0	0	0.15871	3.14437	0.01431	3.38967	6.00424	1.62278	0.20328	1.7014	6.84065	2.32681	0.71932	1.12404	1.48421	0.6574	0.99442	1.25131	0.01016
k__Bacteria|p__Firmicutes|c__Negativicutes	0.45939	1.67676	0.38738	1.39436	12.26747	5.07284	0.32321	1.68031	0.04982	3.26416	1.09445	0.60018	1.91273	0.56126	1.55088	3.78138	3.59504	1.07494	0.39876	8.14698	3.58362	1.81446	0.26318
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	6.45392	0.87125	0.06861	0.36606	8.06877	0.332	0.01033	0.90016	0	2.05027	0.09697	0	0.06992	0.1932	0	0.21688	0	0.0006	0.61652	0.27889	0.405	0.03771	0.24471
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.20611	0.20603	0.0815	0.00017	0	0.05713	0.11286	0.56103	0.00947	0.85172	0.12613	0	0.10926	0.17705	0	0.04112	0	0.18711	0.56178	0.04378	0.04792	0.04699	0.37773
