group	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
clade_name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23
Clostridia_unclassified_SGB4367	0.24316	0	0	0	0	0	0	0	0	9.08024	0	0	0	0	0	2.56215	0.36903	0.97658	0	2.43427	0.07046	0	0.12471
Parabacteroides_merdae	3.75211	0	12.81194	3.18895	0	0	2.7293	0	0.07374	7.17806	16.13813	0.75844	0	0	0.48944	0.64566	0.97734	2.16553	1.91746	0.47511	0.93749	0.43804	0.25379
Alistipes_sp_An31A	0	0	0	0	0	0	0	0	0	5.11551	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalibacterium_prausnitzii	0.54241	12.94104	2.61796	7.0991	0	5.43801	0.35141	14.42138	0.1104	4.02519	1.57206	12.41597	9.00858	9.98802	6.13172	3.98858	5.51616	8.04476	7.136	7.33255	3.52122	6.69172	0.12508
Prevotella_copri_clade_C	0	38.07463	3.04727	1.22759	0	0	0	0	16.83576	3.58236	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_cellulosilyticus	0.02338	0	0	0	0	0	0	0	0	3.48071	0	0	0.76842	0	0	0	0.0224	0	0	0	0	2.83793	0.10641
Clostridia_bacterium	3.081	0.08852	1.97275	0.26912	0	0.01639	7.06329	0.73034	0.03791	3.44577	14.50769	1.19741	0.68008	0.62242	0	6.39382	6.37594	3.45802	0.48514	1.33666	0.95692	1.21628	9.80329
Sutterella_wadsworthensis	0.24798	0	0.53925	0.61204	0	0	0.14996	2.49245	0	3.38967	2.15372	0	0	0	6.84065	2.32681	0.71932	0.97305	1.2617	0.63296	0.91883	0	0
Prevotella_copri_clade_A	0	0	15.88767	19.30537	0	67.07472	0.60659	0	37.67935	3.31257	0.23816	35.24029	37.86252	0	68.99121	3.81701	24.41777	0	0	42.10657	54.29371	0	0
GGB1407_SGB1931	0	0	0	0	0	0	0	0	0	2.9828	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB4266_SGB5809	0.3168	0	0	0	0	0	0	0	0.04982	2.80602	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB9635_SGB15106	3.91218	0	0.12561	0	0	0	0.19448	0	0	2.56317	0.90396	0.0102	0	0	0	0	0.20814	2.41877	0	0.39625	0	0	0
Prevotella_copri_clade_B	0	0	0.80872	0	0	0	0	0	0	2.54058	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_faecis	0.12394	0	0	0	0	0	0.67567	0.0375	0.04821	2.3635	1.20872	4.0117	0	0	0	0.38858	0.44922	0	0.57745	0	0	0	0
Rikenellaceae_bacterium	0	0	0.242	0	0	0	0	0	0	2.15331	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB1154_SGB1482	0	0	0	0	0	0	0	0	0	2.08666	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli	6.45392	0.04601	0.06861	0.34014	4.34837	0.24063	0	0.22506	0	2.05027	0	0	0	0.00375	0	0.21381	0	0	0.45158	0.25151	0.14889	0.00156	0.24471
Clostridia_unclassified_SGB6317	0	0	0	0	0	0	0.36748	0	0	1.94928	0	0	1.27732	0	0	0	0	0	0	0	0	0	0
Dorea_longicatena	0	0.15233	0.19186	0.00811	0	0.0076	0.13529	0.37241	0	1.92955	0.00269	0.06897	0.0232	0.28675	0	0	0.02162	0.13245	0.13954	0.34405	0.00598	0.0753	0.07347
Phocaeicola_massiliensis	0	0	0.12004	7.39072	0	0	0	0	0	1.767	0	2.35598	0	0	2.81726	1.85643	0.99246	0	0	1.99725	0	5.23347	0.24272
Eubacterium_sp_AM28_29	0.00752	0.31644	0.66418	0.14328	0	0.03603	0	0	0	1.56692	0.04884	0.30512	0	0.94903	0	0	0	0	0.33412	0.2444	0	0	0
Alistipes_onderdonkii	1.23423	0	0.41819	1.18716	0	0.74022	0	0	0	1.48252	0	4.37575	0.22358	2.24968	0	0	0.2169	0.54523	1.29199	0.62868	0.64007	1.12961	0.85257
Coprococcus_comes	0	0.01208	0.04874	0	0	0	0	0.18125	0.00158	1.45352	0	0.01691	0.05208	0.11956	0	0.40852	0.00895	0.12381	0.36163	0.44637	0.04127	0.14218	0.00359
Blautia_wexlerae	0.0463	0.53666	0.09408	0.07885	0	0.52917	0.10302	0.28957	0.15635	1.2733	0.01351	0.05334	0.05054	1.24594	0	1.17368	0.06456	0.10303	0.37615	0.11688	0.04505	0.34461	0.04024
GGB4585_SGB6340	0	0	0	0	0	0	0	0	0	1.20346	0.22168	0	0.39674	0.00628	0	0	0	1.29322	0	0.22193	0.05713	0	0
Butyricimonas_faecihominis	0.45059	0	0.15603	0	0	0	0.00888	0.64772	0	1.16691	0.00856	0	0	0	0	0.95693	0.07276	0	0.09681	0	0	0.20955	0
GGB9633_SGB15091	0.48966	0	0.0021	0	0	0	2.24037	1.85068	0.0666	1.01538	0.17105	0.31765	0	0	0	1.07056	0.00511	0.1003	0	0.24886	0.19205	0.21138	6.04296
Alistipes_shahii	0.46399	0	0.36794	0.06259	0	0	0.42358	0	0.08494	1.01394	3.08629	1.84318	0.5178	0	0.51124	8.07708	3.09586	3.19094	0.55829	0.37801	1.81172	0.49149	0.13927
Bacteroides_uniformis	1.55691	0	6.34883	2.76239	0	0	0.86477	2.26602	36.52456	1.00754	0.41933	5.33743	2.13633	3.96794	0.61949	1.28202	0.56068	5.76443	2.48462	0.44036	0.90448	13.86754	1.34053
Fusicatenibacter_saccharivorans	0	0.04827	0.03414	0.00805	0	0.06012	0.13646	1.24741	0.00465	0.87865	0.00275	0.02521	0.70113	1.83283	0	0.50376	0.08136	0.46054	0.61456	0.20073	0.02386	0.6925	0.14074
Ruminococcaceae_unclassified_SGB15265	0	0	0	0.03069	0	0	0	0	0	0.84222	0	0	0	0	0	0.15767	0.12359	0.69808	0.24417	0.15806	0	0.02233	0.00352
Alistipes_finegoldii	6.77841	0	2.25797	3.03163	0	0	0.00828	0	0.07314	0.76308	3.19175	0.22148	1.83221	0	0.24609	1.57186	0.31795	0.73475	0.0091	0.23344	0.70659	0.59392	0.14431
